Released_Date,Movie_Name,Stars_Featuring,Director,Language,Worldwide,India_Hindi_Net,India_Gross,Overseas,Budget,Verdict,Opening_Day,Screens,Genre
24-01-2020,Tanhaji The Unsung Warrior,Ajay Devgn,Om Raut,Hindi,283,270,278,5,150,Blockbuster,15.1,4000,Historical
10-01-2020,Darbar,Rajinikanth,A.R. Murugadoss,Tamil,196,18,160,36,180,Hit,20.0,3800,Action
01-01-2020,Dabangg 3,Salman Khan,Prabhu Deva,Hindi,133,120,128,5,100,Hit,32.0,4200,Action
10-01-2020,Ala Vaikunthapurramuloo,Allu Arjun,Trivikram Srinivas,Telugu,231,16,182,49,110,Blockbuster,21.0,4000,Comedy
24-01-2020,Street Dancer 3D,Varun Dhawan,Remo D'Souza,Hindi,75,68,72,3,90,Flop,10.5,3800,Musical
05-02-2020,Imlie,Gashmeer Mahajani,Ajit Sinha,Hindi,8,7,8,1,10,Average,0.5,500,Drama
07-02-2020,Shikara,Adil Khan,Vidhu Vinod Chopra,Hindi,14,13,14,0.5,15,Flop,1.2,1500,Drama
14-02-2020,Love Aaj Kal,Kartik Aaryan,Imtiaz Ali,Hindi,35,32,34,1,55,Flop,12.4,3000,Romance
14-02-2020,Malang,Aditya Roy Kapur,Mohit Suri,Hindi,61,55,59,2,50,Hit,8.0,2700,Action
21-02-2020,Bhoot: The Haunted Ship,Vicky Kaushal,Bhanu Pratap Singh,Hindi,23,21,22,1,30,Flop,4.6,2200,Horror
27-02-2020,Thappad,Taapsee Pannu,Anubhav Sinha,Hindi,37,34,36,1,30,Hit,3.1,1800,Drama
06-03-2020,Baaghi 3,Tiger Shroff,Ahmed Khan,Hindi,134,122,130,4,97,Blockbuster,19.5,3800,Action
13-03-2020,Angrezi Medium,Irrfan Khan,Homi Adajania,Hindi,17,15,16,1,40,Flop,3.1,1500,Comedy
06-03-2020,Jersey,Shahid Kapoor,Gowtam Tinnanuri,Telugu,18,2,14,4,35,Flop,1.5,1200,Sports
20-03-2020,Gunjan Saxena The Kargil Girl,Janhvi Kapoor,Sharan Sharma,Hindi,34,31,33,1,25,Hit,0,0,Biography
12-06-2020,Gulabo Sitabo,Amitabh Bachchan,Shoojit Sircar,Hindi,0,0,0,0,35,Average,0,0,Comedy
24-07-2020,Shakuntala Devi,Vidya Balan,Anu Menon,Hindi,0,0,0,0,30,Hit,0,0,Biography
30-07-2020,Dil Bechara,Sushant Singh Rajput,Mukesh Chhabra,Hindi,0,0,0,0,28,Super Hit,0,0,Romance
05-08-2020,Khuda Haafiz,Vidyut Jammwal,Faruk Kabir,Hindi,0,0,0,0,30,Flop,0,0,Action
28-08-2020,Sadak 2,Alia Bhatt,Mahesh Bhatt,Hindi,0,0,0,0,45,Disaster,0,0,Drama
02-10-2020,Laxmii,Akshay Kumar,Raghava Lawrence,Hindi,0,0,0,0,90,Flop,0,0,Horror
13-11-2020,Chhalaang,Rajkummar Rao,Hansal Mehta,Hindi,0,0,0,0,25,Average,0,0,Sports
20-11-2020,The Man Who Felt Too Much,Ranveer Singh,Rohit Shetty,Hindi,0,0,0,0,35,Average,0,0,Comedy
25-12-2020,Coolie No 1,Varun Dhawan,David Dhawan,Hindi,0,0,0,0,70,Flop,0,0,Comedy
11-09-2020,Sanjivani,Mohit Malik,Ravindra Gautam,Hindi,0,0,0,0,8,Average,0,0,Drama
06-11-2020,Haathi Mere Saathi,Rana Daggubati,Prabu Solomon,Telugu,12,1,10,2,35,Flop,0.8,900,Drama
14-02-2020,Aswathama,Naga Shaurya,Ramana Teja,Telugu,5,0.2,4,1,8,Average,0.5,600,Action
01-01-2020,Naa Peru Surya,Allu Arjun,Vakkantham Vamsi,Telugu,6,0.5,5,1,10,Average,0.8,700,Action
17-01-2020,Sarileru Neekevvaru,Mahesh Babu,Anil Ravipudi,Telugu,222,14,175,47,100,Blockbuster,28.0,4500,Action
23-01-2020,V,Nani,Mohana Krishna Indraganti,Telugu,11,0.5,9,2,20,Flop,0,0,Thriller
12-03-2020,Entha Manchivaadavuraa,Kalyan Ram,Satish Vegesna,Telugu,10,0.5,8,2,15,Average,1.0,900,Drama
21-02-2020,Disco Raja,Ravi Teja,Vi Anand,Telugu,9,0.5,7,2,20,Flop,1.5,1100,Sci-Fi
07-02-2020,Bheeshma,Nithiin,Venky Kudumula,Telugu,42,3,33,9,35,Hit,5.0,2500,Romance
14-02-2020,Manmadhudu 2,Nagarjuna,Rahul Ravindran,Telugu,12,0.8,10,2,18,Flop,1.5,1200,Comedy
01-05-2020,Sreekaram,Sharwanand,Kishore B,Telugu,0,0,0,0,18,Hit,0,0,Drama
11-09-2020,Uppena,Panja Vaisshnav Tej,Buchi Babu Sana,Telugu,0,0,0,0,25,Hit,0,0,Romance
12-03-2020,Valmiki,Varun Tej,Harish Shankar,Telugu,20,1,16,4,30,Flop,3.0,1500,Action
20-03-2020,Sketch,Vikram,Vijay Chander,Tamil,8,0.5,6,2,20,Flop,1.2,800,Action
01-01-2020,Darbar Tamil,Rajinikanth,A.R. Murugadoss,Tamil,60,0,50,10,50,Hit,7.0,2000,Action
17-01-2020,Pattas,Dhanush,RS Durai Senthilkumar,Tamil,40,2,32,8,40,Average,5.0,2200,Action
05-03-2020,Bigil Re-release,Thalapathy Vijay,Atlee,Tamil,5,0,4,1,5,Hit,1.0,800,Sports
27-03-2020,Master,Thalapathy Vijay,Lokesh Kanagaraj,Tamil,0,0,0,0,150,Super Hit,0,0,Action
01-01-2020,Hero,Sivakarthikeyan,P.S. Mithran,Tamil,28,1,22,6,30,Average,4.0,2000,Action
31-01-2020,Comali Re-release,Jayam Ravi,Pradeep Ranganathan,Tamil,4,0,3,1,4,Hit,0.8,600,Comedy
14-02-2020,Kannum Kannum Kollaiyadithaal,Dulquer Salmaan,Desingh Periyasamy,Tamil,22,1,17,5,20,Hit,2.5,1500,Romance
01-05-2020,Penguin,Keerthy Suresh,Eashvar Karthic,Tamil,0,0,0,0,20,Flop,0,0,Thriller
21-08-2020,Soorarai Pottru,Suriya,Sudha Kongara,Tamil,0,0,0,0,60,Super Hit,0,0,Biography
29-10-2020,Mookuthi Amman,RJ Balaji,RJ Balaji,Tamil,0,0,0,0,25,Hit,0,0,Comedy
25-12-2020,Kolai,Vijay Antony,Balaji K Kumar,Tamil,0,0,0,0,18,Average,0,0,Crime
01-01-2020,Trance,Fahadh Faasil,Anwar Rasheed,Malayalam,14,0,12,2,20,Average,2.0,1200,Thriller
14-02-2020,Uyare,Parvathy Thiruvothu,Manu Ashokan,Malayalam,12,0,10,2,12,Hit,1.5,900,Drama
07-02-2020,Ishq,Shane Nigam,Anuraj Manohar,Malayalam,9,0,8,1,10,Average,1.2,800,Drama
05-03-2020,Forensic,Tovino Thomas,Akhil Paul,Malayalam,15,0.5,12,3,10,Hit,1.8,1100,Crime
13-03-2020,Sufiyum Sujatayum,Jayasurya,Naranipuzha Shanavas,Malayalam,0,0,0,0,10,Average,0,0,Romance
07-08-2020,Drishyam 2,Mohanlal,Jeethu Joseph,Malayalam,0,0,0,0,50,Blockbuster,0,0,Thriller
02-10-2020,Kappela,Roshan Mathew,Muhammad Musthafa,Malayalam,0,0,0,0,5,Hit,0,0,Drama
21-08-2020,Aanum Pennum,Fahadh Faasil,Various,Malayalam,0,0,0,0,8,Average,0,0,Drama
05-11-2020,Cold Case,Prithviraj Sukumaran,Tanu Balak,Malayalam,0,0,0,0,15,Hit,0,0,Crime
25-12-2020,Minnal Murali,Tovino Thomas,Basil Paulose,Malayalam,0,0,0,0,18,Super Hit,0,0,Action
01-01-2020,Mardaani 2,Rani Mukerji,Gopi Puthran,Hindi,42,38,41,1,30,Hit,3.5,2000,Crime
17-01-2020,Chhapaak,Deepika Padukone,Meghna Gulzar,Hindi,31,28,30,1,25,Average,4.0,2600,Biography
17-01-2020,Tanhaji Hindi,Ajay Devgn,Om Raut,Hindi,283,270,278,5,150,Blockbuster,15.1,4000,Historical
14-02-2020,Shubh Mangal Zyada Saavdhan,Ayushmann Khurrana,Hitesh Kewalya,Hindi,33,30,32,1,26,Hit,7.8,2500,Comedy
28-02-2020,Bard of Blood,Emraan Hashmi,Ribhu Dasgupta,Hindi,0,0,0,0,20,Flop,0,0,Thriller
06-03-2020,Roohi,Rajkummar Rao,Hardik Mehta,Hindi,0,0,0,0,30,Average,0,0,Horror
20-03-2020,Sooryavanshi,Akshay Kumar,Rohit Shetty,Hindi,0,0,0,0,180,Blockbuster,0,0,Action
24-07-2020,Khaali Peeli,Ishaan Khatter,Maqbool Khan,Hindi,0,0,0,0,25,Flop,0,0,Action
25-12-2020,AK vs AK,Anil Kapoor,Vikramaditya Motwane,Hindi,0,0,0,0,15,Hit,0,0,Thriller
31-01-2020,Panga,Kangana Ranaut,Ashwiny Iyer Tiwari,Hindi,25,23,24,1,22,Average,2.6,1800,Sports
07-02-2020,Ittefaq,Sonakshi Sinha,Abhay Chopra,Hindi,6,5,6,0.3,12,Flop,1.0,800,Thriller
21-02-2020,Jawaani Jaaneman,Saif Ali Khan,Nitin Kakkar,Hindi,18,16,17,1,16,Hit,2.5,1600,Comedy
06-03-2020,Maska,Manisha Koirala,Neeraj Udhwani,Hindi,0,0,0,0,15,Average,0,0,Drama
17-04-2020,Extraction,Randeep Hooda,Sam Hargrave,Hindi,0,0,0,0,65,Hit,0,0,Action
08-05-2020,Irrfan Khan Special,Irrfan Khan,Various,Hindi,0,0,0,0,5,Average,0,0,Drama
25-09-2020,Ludo,Abhishek Bachchan,Anurag Basu,Hindi,0,0,0,0,45,Hit,0,0,Comedy
20-11-2020,Serious Men,Nawazuddin Siddiqui,Sudhir Mishra,Hindi,0,0,0,0,12,Hit,0,0,Drama
13-11-2020,Indoo Ki Jawani,Kiara Advani,Abir Sengupta,Hindi,0,0,0,0,20,Flop,0,0,Comedy
27-11-2020,Burna Boy,Aditya Kumar,Prashant Singh,Hindi,0,0,0,0,8,Flop,0,0,Drama
04-12-2020,Durgamati,Bhumi Pednekar,G. Ashok,Hindi,0,0,0,0,35,Flop,0,0,Horror
18-12-2020,Radhe Shyam,Prabhas,Radha Krishna Kumar,Telugu,0,0,0,0,350,Blockbuster,0,0,Romance
24-01-2020,Jaanu,Sharwanand,C. Prem Kumar,Telugu,14,0.8,11,3,15,Average,2.0,1300,Romance
11-09-2020,World Famous Lover,Vijay Deverakonda,Kranthi Madhav,Telugu,15,1,12,3,30,Flop,4.5,2000,Romance
11-09-2020,Krack,Ravi Teja,Gopichand Malineni,Telugu,0,0,0,0,30,Hit,0,0,Action
13-03-2020,Zombie Reddy,Teja Sajja,Prashanth Varma,Telugu,0,0,0,0,10,Average,0,0,Horror
01-04-2020,Keerthy Suresh Special,Keerthy Suresh,Various,Telugu,0,0,0,0,5,Average,0,0,Drama
05-08-2020,Kurup,Dulquer Salmaan,Srinath Rajendran,Malayalam,0,0,0,0,40,Super Hit,0,0,Crime
07-08-2020,Vellam,Jayasurya,Prajesh Sen,Malayalam,0,0,0,0,8,Hit,0,0,Drama
20-03-2020,Aakasham Nee Haddhu Ra,Bellamkonda Srinivas,Sriram Adittya,Telugu,25,1.5,20,5,40,Flop,3.0,1800,Romance
17-01-2020,Nerkonda Paarvai Re-release,Ajith Kumar,H. Vinoth,Tamil,8,0,6,2,5,Hit,1.2,800,Thriller
11-09-2020,Oh My Kadavule,Ashok Selvan,Ashwath Marimuthu,Tamil,0,0,0,0,10,Hit,0,0,Comedy
08-10-2020,Ka Pae Ranasingam,Vijay Sethupathi,P. Virumandi,Tamil,0,0,0,0,22,Average,0,0,Drama
05-11-2020,Soorarai Pottru Tamil,Suriya,Sudha Kongara,Tamil,0,0,0,0,60,Super Hit,0,0,Biography
11-09-2020,Sillu Karupatti,Sundar C,Halitha Shameem,Tamil,0,0,0,0,6,Hit,0,0,Romance
25-12-2020,Ninnila Ninnila,Ashok Selvan,Desingh Periyasamy,Tamil,0,0,0,0,12,Average,0,0,Romance
01-07-2020,Shakuntala Devi Tamil Dub,Vidya Balan,Anu Menon,Tamil,0,0,0,0,5,Hit,0,0,Biography
02-10-2020,Mookuthi Amman Tamil,RJ Balaji,RJ Balaji,Tamil,0,0,0,0,25,Hit,0,0,Comedy
17-04-2020,Paava Kadhaigal,Kalidas Jayaram,Various,Tamil,0,0,0,0,15,Hit,0,0,Drama
