Released Date,Movie_Name,Star_Featuring,Language,Director,Budget,India Gross,Overseas Collection,Worldwide Collection,Profit,Profit in Percentage,Rating,Verdict,Opening_Day,Screens,Genre
07-01-2022,Arjun Gowda,Prajwal Devaraj,Kannada,Lucky Shankar,10,6,1,7,-3,-30%,5.4,Flop,0.3,366,Action
07-01-2022,Enna Solla Pogirai,Ashwin Kumar,Tamil,Hariharan,12,5,1,6,-6,-50%,5.8,Flop,0.3,306,Romance
13-01-2022,Beast,Vijay,Tamil,Nelson Dilipkumar,150,165,70,235,85,56%,6.1,Hit,32.0,5000,Action
14-01-2022,Theal,Prabhu Deva,Tamil,Harikumar,10,4,1,5,-5,-50%,5.2,Flop,0.3,333,Drama
14-01-2022,Naai Sekar,Satish,Tamil,Kishore Rajkumar,12,8,1,9,-3,-25%,5.9,Average,0.5,370,Comedy
14-01-2022,Bangarraju,Nagarjuna,Telugu,Kalyan Krishna,40,38,6,44,4,10%,5.6,Average,2.8,1844,Comedy
14-01-2022,Kishmish,Dev,Bengali,Rahul Mukherjee,5,12,2,14,9,180%,7.4,Hit,0.6,339,Romance
21-01-2022,Ek Love Ya,Raanna,Kannada,Prem,15,12,2,14,-1,-6%,6.1,Average,1.0,471,Romance
21-01-2022,Aaraattu,Mohanlal,Malayalam,B Unnikrishnan,30,17,3,20,-10,-33%,4.5,Flop,1.6,1113,Action
21-01-2022,Rowdy Boys,Ashish,Telugu,Sri Harsha Konuganti,25,9,2,11,-14,-56%,5.0,Flop,0.9,817,Romance
28-01-2022,DJ Tillu,Siddhu Jonnalagadda,Telugu,Vimal Krishna,10,29,5,34,24,240%,7.2,Super Hit,2.1,325,Comedy
28-01-2022,Hero,Ashok Galla,Telugu,Sriram Adittya,30,12,3,15,-15,-50%,5.2,Flop,1.2,1538,Action
04-02-2022,Meppadiyan,Unni Mukundan,Malayalam,Vishnu Mohan,10,15,3,18,8,80%,7.1,Average,0.8,344,Drama
04-02-2022,Thattassery Koottam,Arjun Ashokan,Malayalam,Anoop Padmanabhan,7,5,1,6,-1,-14%,6.2,Flop,0.3,341,Drama
11-02-2022,Valimai,Ajith Kumar,Tamil,H Vinoth,150,165,70,235,85,56%,6.1,Hit,27.9,5888,Action
11-02-2022,FIR,Vishnu Vishal,Tamil,Manu Anand,20,18,3,21,1,5%,7.3,Average,1.4,1436,Comedy
11-02-2022,Main Viyah Nahi Karona Tere Naal,Gurnam Bhullar,Punjabi,Rupinder Inderjit,6,11,3,14,8,133%,7.1,Hit,0.9,237,Comedy
18-02-2022,Gehraiyaan,Deepika Padukone,Hindi,Shakun Batra,60,22,8,30,-30,-50%,6.1,Flop,1.9,2113,Drama
18-02-2022,Baba Baby O,Jisshu Sengupta,Bengali,Aritra Mukherjee,4,9,1,10,6,150%,7.3,Hit,0.6,336,Comedy
25-02-2022,Gangubai Kathiawadi,Alia Bhatt,Hindi,Sanjay Leela Bhansali,100,153,56,209,109,109%,7.8,Hit,16.9,5366,Biography
25-02-2022,Bhoothakaalam,Shane Nigam,Malayalam,Rahul Sadasivan,8,9,2,11,3,37%,7.5,Average,0.4,466,Horror
